Word,Positive,Negative,Uncertainty,Litigious
ALTERCATION,,2009,,
DISCERN,,2009,,
DAMAGES,,2009,,
BIND,,2009,,
AGITATE,,2009,,
ARTICULATE,,2009,,
BASELESS,,2009,,
ABNORMAL,,2009,,
DISASTER,,2009,,
AFFILIATE,,2009,,
EXPIRE,,2009,,
COVER,,2009,,
DISEASE,,2009,,
CONTAGION,,2009,,
ENFORCE,,2009,,
DISTORT,,2009,,
DISCOUNT,,2009,,
AUDIT,,2009,,
EXERCISE,,2009,,
EMPLOYEE,,2009,,
BEAR,,2009,,
DESIGNATE,,2009,,
CONTRACT,,2009,,
CAPTURE,,2009,,
CONCEAL,,2009,,
EFFORT,,2009,,
DIMINISH,,2009,,
DERIVE,,2009,,
CAUSE,,2009,,
DISMISS,,2009,,
DEFENSE,,2009,,
EMERGENCY,,2009,,
CONFIRM,,2009,,
CATCH,,2009,,
ESCALATE,,2009,,
DISPENSE,,2009,,
ELAPSE,,2009,,
ELIMINATE,,2009,,
DISAPPOINT,,2009,,
DEFINE,,2009,,
DISHONEST,,2009,,
ABDICATE,,2009,,
CONJECTURE,,2009,,
EXAMINE,,2009,,
CRIMINAL,,2009,,
DUMP,,2009,,
EMINENT,,2009,,
COMPENSATE,,2009,,
DEBTHOLDER,,2009,,
CONVENTION,,2009,,
BAD,,2009,,
ALLEGE,,2009,,
CONSOLIDATE,,2009,,
ABSOLVE,,2009,,
CHAOS,,2009,,
EXPECT,,2009,,
CHARGE,,2009,,
COMMUNITY,,2009,,
CLEAN,,2009,,
DEFECT,,2009,,
ABORT,,2009,,
CORRECTIVE,,2009,,
MERGER,,,,2009
ACQUISITION,2009,,,
DIVESTITURE,,2009,,
ANTITRUST,,2009,,2009
